Signal Legend:

Key        Signal Name

0        = ADCinterface_qsys:ADCinterface|streamtomem_d_in[15..0]
1        = ADCinterface_qsys:ADCinterface|write_master:write_master_0|ddr_writedata[15..0]
2        = ADCinterface_qsys:ADCinterface|write_master:write_master_0|ddr_addr[31..0]

Data Table:

Signals-> 0   1     2         

sample

0         8   00FFh 000030D5h 
1         8   00FFh 000030D5h 
2         8   00FFh 000030D5h 
3         8   00FFh 000030D5h 
4         8   00FFh 000030D5h 
5         8   00FFh 000030D5h 
6         8   00FFh 000030D5h 
7         8   00FFh 000030D5h 
8         8   00FFh 000030D5h 
9         8   00FFh 000030D5h 
10        8   00FFh 000030D5h 
11        8   00FFh 000030D5h 
12        8   00FFh 000030D5h 
13        8   00FFh 000030D5h 
14        8   00FFh 000030D5h 
15        8   00FFh 000030D5h 
16        8   00FFh 000030D5h 
17        8   00FFh 000030D5h 
18        8   00FFh 000030D5h 
19        8   00FFh 000030D5h 
20        8   00FFh 000030D5h 
21        8   00FFh 000030D5h 
22        8   00FFh 000030D5h 
23        8   00FFh 000030D5h 
24        233 00FFh 000030D5h 
25        255 00FFh 000030D5h 
26        255 00FFh 000030D5h 
27        255 00FFh 000030D5h 
28        255 00FFh 000030D5h 
29        255 00FFh 000030D5h 
30        255 00FFh 000030D5h 
31        255 00FFh 000030D5h 
32        255 00FFh 000030D5h 
33        255 00FFh 000030D5h 
34        255 00FFh 000030D5h 
35        255 00FFh 000030D5h 
36        255 00FFh 000030D5h 
37        255 00FFh 000030D5h 
38        255 00FFh 000030D5h 
39        255 00FFh 000030D5h 
40        255 00FFh 000030D5h 
41        255 00FFh 000030D5h 
42        255 00FFh 000030D5h 
43        255 00FFh 000030D5h 
44        255 00FFh 000030D5h 
45        255 00FFh 000030D5h 
46        255 00FFh 000030D5h 
47        254 00FFh 000030D5h 
48        255 00FFh 000030D5h 
49        45  00FFh 000030D5h 
50        8   00FFh 000030D5h 
51        8   00FFh 000030D5h 
52        8   00FFh 000030D5h 
53        8   00FFh 000030D5h 
54        8   00FFh 000030D5h 
55        8   00FFh 000030D5h 
56        8   00FFh 000030D5h 
57        8   00FFh 000030D5h 
58        8   00FFh 000030D5h 
59        8   00FFh 000030D5h 
60        8   00FFh 000030D5h 
61        8   00FFh 000030D5h 
62        8   00FFh 000030D5h 
63        8   00FFh 000030D5h 
64        8   00FFh 000030D5h 
65        8   00FFh 000030D5h 
66        8   00FFh 000030D5h 
67        8   00FFh 000030D5h 
68        8   00FFh 000030D5h 
69        8   00FFh 000030D5h 
70        8   00FFh 000030D5h 
71        8   00FFh 000030D5h 
72        8   00FFh 000030D5h 
73        8   00FFh 000030D5h 
74        233 00FFh 000030D5h 
75        255 00FFh 000030D5h 
76        255 00FFh 000030D5h 
77        255 00FFh 000030D5h 
78        255 00FFh 000030D5h 
79        255 00FFh 000030D5h 
80        255 00FFh 000030D5h 
81        255 00FFh 000030D5h 
82        255 00FFh 000030D5h 
83        255 00FFh 000030D5h 
84        255 00FFh 000030D5h 
85        255 00FFh 000030D5h 
86        254 00FFh 000030D5h 
87        255 00FFh 000030D5h 
88        255 00FFh 000030D5h 
89        255 00FFh 000030D5h 
90        255 00FFh 000030D5h 
91        255 00FFh 000030D5h 
92        255 00FFh 000030D5h 
93        255 00FFh 000030D5h 
94        255 00FFh 000030D5h 
95        255 00FFh 000030D5h 
96        255 00FFh 000030D5h 
97        255 00FFh 000030D5h 
98        255 00FFh 000030D5h 
99        45  00FFh 000030D5h 
100       8   00FFh 000030D5h 
101       8   00FFh 000030D5h 
102       8   00FFh 000030D5h 
103       8   00FFh 000030D5h 
104       8   00FFh 000030D5h 
105       8   00FFh 000030D5h 
106       8   00FFh 000030D5h 
107       8   00FFh 000030D5h 
108       8   00FFh 000030D5h 
109       8   00FFh 000030D5h 
110       8   00FFh 000030D5h 
111       8   00FFh 000030D5h 
112       8   00FFh 000030D5h 
113       8   00FFh 000030D5h 
114       8   00FFh 000030D5h 
115       8   00FFh 000030D5h 
116       8   00FFh 000030D5h 
117       8   00FFh 000030D5h 
118       8   00FFh 000030D5h 
119       8   00FFh 000030D5h 
120       8   00FFh 000030D5h 
121       8   00FFh 000030D5h 
122       8   00FFh 000030D5h 
123       8   00FFh 000030D5h 
124       233 00FFh 000030D5h 
125       255 00FFh 000030D5h 
126       255 00FFh 000030D5h 
127       255 00FFh 000030D5h 
128       255 00FFh 000030D5h 
129       255 00FFh 000030D5h 
130       255 00FFh 000030D5h 
131       255 00FFh 000030D5h 
132       255 00FFh 000030D5h 
133       255 00FFh 000030D5h 
134       255 00FFh 000030D5h 
135       255 00FFh 000030D5h 
136       255 00FFh 000030D5h 
137       255 00FFh 000030D5h 
138       255 00FFh 000030D5h 
139       255 00FFh 000030D5h 
140       255 00FFh 000030D5h 
141       255 00FFh 000030D5h 
142       255 00FFh 000030D5h 
143       255 00FFh 000030D5h 
144       255 00FFh 000030D5h 
145       255 00FFh 000030D5h 
146       255 00FFh 000030D5h 
147       255 00FFh 000030D5h 
148       255 00FFh 000030D5h 
149       45  00FFh 000030D5h 
150       8   00FFh 000030D5h 
151       8   00FFh 000030D5h 
152       8   00FFh 000030D5h 
153       8   00FFh 000030D5h 
154       8   00FFh 000030D5h 
155       8   00FFh 000030D5h 
156       8   00FFh 000030D5h 
157       8   00FFh 000030D5h 
158       8   00FFh 000030D5h 
159       8   00FFh 000030D5h 
160       8   00FFh 000030D5h 
161       8   00FFh 000030D5h 
162       8   00FFh 000030D5h 
163       8   00FFh 000030D5h 
164       8   00FFh 000030D5h 
165       8   00FFh 000030D5h 
166       8   00FFh 000030D5h 
167       8   00FFh 000030D5h 
168       8   00FFh 000030D5h 
169       8   00FFh 000030D5h 
170       8   00FFh 000030D5h 
171       8   00FFh 000030D5h 
172       8   00FFh 000030D5h 
173       8   00FFh 000030D5h 
174       233 00FFh 000030D5h 
175       255 00FFh 000030D5h 
176       255 00FFh 000030D5h 
177       255 00FFh 000030D5h 
178       255 00FFh 000030D5h 
179       255 00FFh 000030D5h 
180       255 00FFh 000030D5h 
181       255 00FFh 000030D5h 
182       255 00FFh 000030D5h 
183       255 00FFh 000030D5h 
184       255 00FFh 000030D5h 
185       255 00FFh 000030D5h 
186       255 00FFh 000030D5h 
187       255 00FFh 000030D5h 
188       255 00FFh 000030D5h 
189       255 00FFh 000030D5h 
190       255 00FFh 000030D5h 
191       255 00FFh 000030D5h 
192       255 00FFh 000030D5h 
193       255 00FFh 000030D5h 
194       255 00FFh 000030D5h 
195       255 00FFh 000030D5h 
196       255 00FFh 000030D5h 
197       255 00FFh 000030D5h 
198       255 00FFh 000030D5h 
199       45  00FFh 000030D5h 
200       8   00FFh 000030D5h 
201       8   00FFh 000030D5h 
202       8   00FFh 000030D5h 
203       8   00FFh 000030D5h 
204       8   00FFh 000030D5h 
205       8   00FFh 000030D5h 
206       8   00FFh 000030D5h 
207       8   00FFh 000030D5h 
208       8   00FFh 000030D5h 
209       8   00FFh 000030D5h 
210       8   00FFh 000030D5h 
211       8   00FFh 000030D5h 
212       8   00FFh 000030D5h 
213       8   00FFh 000030D5h 
214       8   00FFh 000030D5h 
215       8   00FFh 000030D5h 
216       8   00FFh 000030D5h 
217       8   00FFh 000030D5h 
218       8   00FFh 000030D5h 
219       8   00FFh 000030D5h 
220       8   00FFh 000030D5h 
221       8   00FFh 000030D5h 
222       8   00FFh 000030D5h 
223       8   00FFh 000030D5h 
224       233 00FFh 000030D5h 
225       255 00FFh 000030D5h 
226       255 00FFh 000030D5h 
227       255 00FFh 000030D5h 
228       255 00FFh 000030D5h 
229       255 00FFh 000030D5h 
230       255 00FFh 000030D5h 
231       255 00FFh 000030D5h 
232       255 00FFh 000030D5h 
233       255 00FFh 000030D5h 
234       255 00FFh 000030D5h 
235       255 00FFh 000030D5h 
236       255 00FFh 000030D5h 
237       255 00FFh 000030D5h 
238       255 00FFh 000030D5h 
239       255 00FFh 000030D5h 
240       255 00FFh 000030D5h 
241       255 00FFh 000030D5h 
242       255 00FFh 000030D5h 
243       255 00FFh 000030D5h 
244       255 00FFh 000030D5h 
245       255 00FFh 000030D5h 
246       255 00FFh 000030D5h 
247       255 00FFh 000030D5h 
248       255 00FFh 000030D5h 
249       45  00FFh 000030D5h 
250       8   00FFh 000030D5h 
251       8   00FFh 000030D5h 
252       8   00FFh 000030D5h 
253       8   00FFh 000030D5h 
254       8   00FFh 000030D5h 
255       8   00FFh 000030D5h 
256       8   00FFh 000030D5h 
257       8   00FFh 000030D5h 
258       8   00FFh 000030D5h 
259       8   00FFh 000030D5h 
260       8   00FFh 000030D5h 
261       8   00FFh 000030D5h 
262       8   00FFh 000030D5h 
263       8   00FFh 000030D5h 
264       8   00FFh 000030D5h 
265       8   00FFh 000030D5h 
266       8   00FFh 000030D5h 
267       8   00FFh 000030D5h 
268       8   00FFh 000030D5h 
269       8   00FFh 000030D5h 
270       8   00FFh 000030D5h 
271       8   00FFh 000030D5h 
272       8   00FFh 000030D5h 
273       8   00FFh 000030D5h 
274       233 00FFh 000030D5h 
275       255 00FFh 000030D5h 
276       255 00FFh 000030D5h 
277       255 00FFh 000030D5h 
278       255 00FFh 000030D5h 
279       255 00FFh 000030D5h 
280       255 00FFh 000030D5h 
281       255 00FFh 000030D5h 
282       255 00FFh 000030D5h 
283       255 00FFh 000030D5h 
284       255 00FFh 000030D5h 
285       255 00FFh 000030D5h 
286       255 00FFh 000030D5h 
